Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
411,Aryabhata,Moon,21.89,6.2,35.17,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1979,"Aryabhata I; Indian astronomer, mathematician (476-c.550).",,,,,
412,Arzachel,Moon,96.99,-18.26,-1.93,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Al-Zarqālī, Spanish-Arabic astronomer (died 1100).,,,,
413,Asada,Moon,12.37,7.25,49.9,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Goryu, Japanese astronomer (1734-1799).,,,,
414,Asclepi,Moon,40.56,-55.19,25.52,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Giuseppe Maria, Italian astronomer (1706-1776).,,,,
422,Ashbrook,Moon,157.68,-81.1,-110.58,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1994,Joseph, American astronomer (1918-1980).,,,,
440,Aston,Moon,44.48,32.77,-87.68,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,"Francis William; British chemist, physicist; Nobel laureate (1877-1945).",,,,,
458,Atlas,Moon,88.12,46.74,44.38,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Mythological Greek Titan.,,,,,
466,Atwood,Moon,28.64,-5.88,57.78,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,"George; British mathematician, physicist (1746-1807).",,,,,
6786,Austen,Moon,0,-9,93.55,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,-,Jane, British author (1775-1817).,,,,
493,Autolycus,Moon,38.88,30.68,1.49,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Autolycus of Pitane, Greek astronomer (fl. c. 310 B.C.).,,,,
495,Auwers,Moon,19.64,15,17.12,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Georg Friedrich Julius Arthur, German astronomer (1838-1915).,,,,
497,Auzout,Moon,32.92,10.21,64.01,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1961,"Adrien; French astronomer, physicist (1622-1691).",,,,,
507,Avery,Moon,10.73,-1.32,81.37,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Oswald Theodore, Canadian doctor (1877-1955).,,,,
509,Avicenna,Moon,72.99,39.63,-97.28,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Abu Ali Al-Hussein Ibn Abdallah, Persian doctor (980-1037).,,,,
510,Avogadro,Moon,129.84,63.21,165.36,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Amedeo (Conte Di Quarengna), Italian physicist (1776-1856).,,,,
524,Azophi,Moon,47.54,-22.19,12.7,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Al-Sufi, Abderrahman; Persian astronomer (903-986).",,,,,
529,Baade,Moon,57.85,-44.75,-82.03,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Wilhelm Heinrich Walter, American astronomer (1893-1960).,,,,
531,Babakin,Moon,19.15,-20.81,123.26,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1973,Georgii Nikolaevich, Soviet space scientist (1914-1971).,,,,
533,Babbage,Moon,146.56,59.56,-57.38,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Charles, British mathematician (1792-1871).,,,,
535,Babcock,Moon,95.28,4.13,94.14,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Harold Delos; American astronomer, physicist (1882-1968).",,,,,
536,Baby Ray,Moon,0.17,-9.08,15.42,"Planetographic, +East, -180 - 180",Landing site name,LF,Approved,1973,"Astronaut-named feature, Apollo 16 site.",,,,,
541,Back,Moon,34.63,1.2,80.67,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Ernst Emil Alexander, German physicist (1881-1959).,,,,
542,Backlund,Moon,75.46,-16.22,103.35,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Jöns Oskar, Russian astronomer (1846-1916).,,,,
543,Baco,Moon,65.31,-51.04,19.1,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,"Bacon, Roger; British natural philosopher, optician (c. 1214-c. 1294).",,,,,
560,Baillaud,Moon,89.44,74.61,37.35,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,(Édouard) Benjamin, French astronomer (1848-1934).,,,,
561,Bailly,Moon,300.56,-66.82,-68.9,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Jean Sylvain, French astronomer (1736-1793).,,,,
562,Baily,Moon,25.68,49.78,30.56,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Francis, British astronomer (1774-1844).,,,,
569,Balandin,Moon,11.81,-18.94,152.58,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Aleksey Aleksandrovich, Soviet chemist (1898-1967).,,,,
570,Balboa,Moon,69.19,19.24,-83.31,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Vasco Nuñez de, Spanish explorer (1475-1519).,,,,
574,Baldet,Moon,55.76,-53.32,-151.96,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Fernand, French astronomer (1885-1964).,,,,
579,Ball,Moon,40.31,-35.92,-8.39,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,William, British astronomer (unkn-1690).,,,,
15894,Ballet,Moon,0.01,20.17,30.57,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,"Feb 11, 2020","Astronaut-named feature, Apollo 17 site.",,,,,
580,Balmer,Moon,136.3,-20.27,70.22,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,"Johann Jakob; Swiss mathematician, physician (1825-1898).",,,,,
6788,Balzac,Moon,0,-8,95,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,-,Honore de, French author (1799-1850).,,,,
592,Banachiewicz,Moon,99.09,5.28,80.01,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,"Tadeusz; Polish astronomer, mathematician (1882-1954).",,,,,
594,Bancroft,Moon,12.5,28.07,-6.43,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,Wilder Dwight, American chemist (1867-1953).,,,,
16090,Bandfield,Moon,1,-5.4,90.77,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,"Jul 08, 2022",Joshua, American planetary scientist (1974-2019).,,,,
597,Banting,Moon,5.15,26.58,16.43,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1973,Sir Frederick Grant, Canadian doctor, Nobel laureate (1891-1941).,,,
605,Barbier,Moon,65.38,-23.85,157.93,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Daniel, French astronomer (1907-1965).,,,,
606,Barkla,Moon,40.9,-10.67,67.22,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1979,Charles Glover, British physicist, Nobel laureate (1877-1944).,,,
608,Barnard,Moon,115.73,-29.79,85.95,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1964,Edward Emerson, American astronomer (1857-1923).,,,,
613,Barocius,Moon,82.72,-44.98,16.81,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Francesco, Italian mathematician (1537-1604).,,,,
616,Barringer,Moon,66.89,-28.22,-150.43,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,"Daniel Moreau; American engineer, geologist (1860-1929).",,,,,
617,Barrow,Moon,93.82,71.28,7.59,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Isaac, British mathematician (1630-1677).,,,,
621,Bartels,Moon,54.95,24.51,-89.85,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Julius, German geophysicist (1899-1964).,,,,
6790,Baudelaire,Moon,0,-23.2,123.1,"Planetographic, +East, -180 - 180","Crater, craters",AA,Not Approved,-,Pierre Charles, French poet (1821-1867).,,,,
644,Bawa,Moon,1.57,-25.28,102.56,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1976,African male name.,,,,,
646,Bayer,Moon,48.51,-51.62,-35.14,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Johann, German astronomer (1572-1625).,,,,
651,Beals,Moon,52.61,37.11,86.58,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1982,Carlyle Smith, Canadian astronomer (1899-1979).,,,,
652,Bear Mountain,Moon,3.46,19.98,30.77,"Planetographic, +East, -180 - 180",Landing site name,LF,Approved,1973,"Astronaut-named feature, Apollo 17 site.",,,,,
653,Beaumont,Moon,50.69,-18.08,28.82,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Jean-Baptiste-Armand-Louis-Léonce Élie de, French geologist (1798-1874).,,,,
654,Becquerel,Moon,62.86,40.79,129.5,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Antoine-Henri, French physicist, Nobel laureate (1852-1908).,,,
727,Becvar,Moon,66.62,-2.57,125.07,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1970,Antonin, Czechoslovakian astronomer (1901-1965).,,,,
658,Beer,Moon,9.06,27.07,-9.1,"Planetographic, +East, -180 - 180","Crater, craters",AA,Approved,1935,Wilhelm, German astronomer (1797-1850).,,,,
