Feature ID,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Feature Type Code,Approval Status,Approval Date,Origin,,,,,
396,Arsinoes Chaos,Mars,200.08,-7.66,332.08,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1982,Daughter of Ptolomy Lagun and Bernice.,,,,,
397,Arta,Mars,3.96,21.38,305.71,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1988,Town in Russia.,,,,,
15166,Artik,Mars,5.36,-34.8,130.98,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Aug 30, 2013",Town in Armenia.,,,,,
406,Artynia Catena,Mars,279.28,47.69,240.55,"Planetocentric, +East, 0 - 360","Catena, catenae",CA,Approved,1985,"Named for classical albedo feature at 54N, 137W.",,,,,
16042,Arvi,Mars,7,-39.34,202.72,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Mar 23, 2022",Town in India.,,,,,
15125,Asau,Mars,25.05,-3.63,154.68,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"Jun 03, 2013",Village in Tuvalu.,,,,,
415,Ascraeus Chasmata,Mars,105.2,8.77,254.37,"Planetocentric, +East, 0 - 360","Chasma, chasmata",CM,Approved,1991,Classical albedo name.,,,,,
416,Ascraeus Mensa,Mars,34.86,11.72,252.11,"Planetocentric, +East, 0 - 360","Mensa, mensae",MN,Approved,1991,Classical albedo name.,,,,,
417,Ascraeus Mons,Mars,456.4,11.92,255.92,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,1973,Ascraeus Lacus-classical albedo feature name.,,,,,
418,Ascraeus Sulci,Mars,138.7,12.06,251.25,"Planetocentric, +East, 0 - 360","Sulcus, sulci",SU,Approved,1991,Classical albedo name.,,,,,
419,Ascuris Planum,Mars,617.66,40.59,279.22,"Planetocentric, +East, 0 - 360","Planum, plana",PM,Approved,1991,Classical albedo name.,,,,,
14567,Asimov,Mars,80.82,-46.97,4.93,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,"May 04, 2009",Isaac, American biochemist and writer (1920-1992).,,,,
432,Asopus Vallis,Mars,40.82,-4.29,210.39,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1985,"Classical name for modern Hagios River, Greece.",,,,,
434,Aspen,Mars,18.48,-21.39,336.85,"Planetocentric, +East, 0 - 360","Crater, craters",AA,Approved,1976,"Town in Colorado, USA.",,,,,
14279,Aspledon Undae,Mars,215.2,73.06,309.65,"Planetocentric, +East, 0 - 360","Unda, undae",UN,Approved,"Mar 20, 2007",Classical albedo feature name.,,,,,
436,Astapus Colles,Mars,597,35.46,88.08,"Planetocentric, +East, 0 - 360","Collis, colles",CO,Approved,1985,"From albedo feature at 35N, 269W.",,,,,
453,Athabasca Valles,Mars,270,8.54,155.01,"Planetocentric, +East, 0 - 360","Vallis, valles",VA,Approved,1997,River in Canada. (Changed from Athabasca Vallis.),,,,,
15693,Athena Patera,Mars,19,18.74,227.18,"Planetocentric, +East, 0 - 360","Patera, paterae",PE,Approved,"Oct 16, 2017","Greek goddess of wisdom, one of the Olympians, daughter of Zeus.",,,,,
457,Atlantis Chaos,Mars,181.37,-34.28,182.69,"Planetocentric, +East, 0 - 360","Chaos, chaoses",CH,Approved,1985,"From albedo feature at 30N, 173W.",,,,,
15929,Atlantis Mons,Mars,105,-28.71,184.77,"Planetocentric, +East, 0 - 360","Mons, montes",MO,Approved,"Aug 18, 2020","Classical albedo feature, Atlantis.",,,,,
460,Atrax Dorsum,Mars,33.86,38.19,271,"Planetocentric, +East, 0 - 360","Dorsum, dorsa",DO,Dropped,1991,Classical town.,,,,,
15243,Atrax Fossa,Mars,34.42,38.19,271.02,"Planetocentric, +East, 0 - 360","Fossa, fossae",FO,Approved,"May 30, 2014",Classical town.,,,,,
